Category,Individual Accounts Warned,Servers Warned,Accounts Warned During Server Warns
Child Safety,"3,959",732,"69,264"
Deceptive Practices,294,1,"22,324"
Exploitative and Unsolicited Content,"4,040","1,327","1,306,596"
Harassment and Bullying,"7,473",412,"3,035"
Hateful Conduct,"4,108",927,"346,491"
Identity and Authenticity,68,1,1
Platform Manipulation,463,46,"507,721"
Regulated or Illegal Activities,19,8,"32,498"
Self-Harm Concerns,565,1,197
Violent and Graphic Content,"3,033",561,74
Violent Extremism,49,39,0
,,,
Total:,"24,071","4,055","2,288,201"